Cites,Authors,Title,Language,Year,Field,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1,T Keszi,The change of the pottery style of the Makó and Nagyrév cultures in the Early Bronze Age: The settlement in Iváncsa-Lapos,English,2021,Archaeology,Dissertationes Archaeologicae,ojs.elte.hu,http://ojs.elte.hu/dissarch/article/download/3536/3254,"https://scholar.google.com/scholar?cites=9511016157371963105&as_sdt=805&sciodt=0,3&hl=en",57,2/8/2025 16:41,PDF,,,,,,,,1,0.25,1,1,4,DISSERTA TIONES ARCHAEOLO GICAE Page 1 Ser. 3. No. 9. 2021 | ex Instituto Archaeologico Universitatis de Rolando Eötvös nominatae DISSERTA TIONES ARCHAEOLO GICAE Diss Arch …,http://ojs.elte.hu/dissarch/article/download/3536/3254,"https://scholar.google.com/scholar?q=related:4RYouc3q_YMJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
0,F Charpentier Ljungqvist,Famines in medieval and early modern Europe-Connecting climate and society,English,2023,Archaeology,d-nb.info,,https://d-nb.info/133783548X/34,,160,2/9/2025 10:40,PDF,,,,,,,,0,0,0,1,,"The article evaluates recent scholarship on famines in Europe during the medieval and early modern periods (c. 700–1800), synthesizing the state-of-the-art knowledge and identifying …",https://d-nb.info/133783548X/34,"https://scholar.google.com/scholar?q=related:nZUk_bu_EL8J:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
10,"CL Hofman, L Borck, E Slayton, ...","Archaic age voyaging, networks, and resource mobility around the Caribbean Sea",English,2019,Archaeology,Early Settlers of the …,library.oapen.org,https://library.oapen.org/bitstream/handle/20.500.12657/86386/9789088907807.pdf?sequence=1#page=247,"https://scholar.google.com/scholar?cites=13722341662714954343&as_sdt=805&sciodt=0,3&hl=en",57,2/10/2025 13:23,PDF,,,,,,,,10,1.67,3,4,6,"Geographically, although they have always been regarded as having had separate cultural trajectories, the Leeward and Windward Islands and the Leeward Antilles–consisting of the …",https://library.oapen.org/bitstream/handle/20.500.12657/86386/9789088907807.pdf?sequence=1#page=247,"https://scholar.google.com/scholar?q=related:ZwKrxAmNb74J:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
2,"KJ Mach, K Jagannathan, L Shi, ...","Research to confront climate change complexity: Intersectionality, integration, and innovative governance",English,2024,Climate Science,Earth's …,Wiley Online Library,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2023EF004392,"https://scholar.google.com/scholar?cites=16999585987549863601&as_sdt=805&sciodt=0,3&hl=en",62,2/9/2025 10:40,,10.1029/2023EF004392,,,,,,,2,2,1,4,1,"Climate impacts increasingly unfold in interlinked systems of people, nature, and infrastructure. The cascading consequences are revealing sometimes surprising …",https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2023EF004392,"https://scholar.google.com/scholar?q=related:sR6eVGOp6usJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
19,"JC Fowler, ML Donald, JL Bronstein, ...",The geographic footprint of mutualism: How mutualists influence species' range limits,English,2023,Ecology,Ecological …,Wiley Online Library,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1002/ecm.1558,"https://scholar.google.com/scholar?cites=5605881940335996994&as_sdt=805&sciodt=0,3&hl=en",1,2/8/2025 12:45,,10.1002/ecm.1558,,,,,,,19,9.5,5,4,2,Understanding mechanisms that generate range limits is central to knowing why species are found where they are and how they will respond to environmental change. There is growing …,https://joshuacfowler.github.io/assets/pubs/Ecological%20Monographs%20-%202022%20-%20Fowler%20-%20The%20geographic%20footprint%20of%20mutualism%20How%20mutualists%20influence%20species%20range.pdf,"https://scholar.google.com/scholar?q=related:QjCBauwXzE0J:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
1,"K Sikk, G Caruso",Framing settlement systems as spatial adaptive systems,English,2024,Ecology,Ecological Modelling,Elsevier,https://www.sciencedirect.com/science/article/pii/S0304380024000413,"https://scholar.google.com/scholar?cites=15365692317121532536&as_sdt=805&sciodt=0,3&hl=en",35,2/8/2025 16:41,,,,,,,,,1,1,1,2,1,"Theoretical developments are needed to interpret the increasing amount of large-scale spatial data about past settlements. So far, settlement patterns have mostly been considered …",https://orbilu.uni.lu/bitstream/10993/60319/1/Sikk_Caruso_2024ECOMOD.pdf,"https://scholar.google.com/scholar?q=related:eFL6YcDnPdUJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
151,"B Tellman, JC Bausch, H Eakin, ...",Adaptive pathways and coupled infrastructure: seven centuries of adaptation to water risk and the production of vulnerability in Mexico City.,English,2018,Ecology,Ecology & …,researchgate.net,https://www.researchgate.net/profile/Beth-Tellman/publication/322406912_Adaptive_pathways_and_coupled_infrastructure_seven_centuries_of_adaptation_to_water_risk_and_the_production_of_vulnerability_in_Mexico_City/links/5a598b4baca2727d608164cc/Adaptive-pathways-and-coupled-infrastructure-seven-centuries-of-adaptation-to-water-risk-and-the-production-of-vulnerability-in-Mexico-City.pdf,"https://scholar.google.com/scholar?cites=2093276391388502991&as_sdt=805&sciodt=0,3&hl=en",12,2/13/2025 9:01,PDF,,,,,,,,151,21.57,38,4,7,"Infrastructure development is central to the processes that abate and produce vulnerabilities in cities. Urban actors, especially those with power and authority, perceive and interpret …",https://www.researchgate.net/profile/Beth-Tellman/publication/322406912_Adaptive_pathways_and_coupled_infrastructure_seven_centuries_of_adaptation_to_water_risk_and_the_production_of_vulnerability_in_Mexico_City/links/5a598b4baca2727d608164cc/Adaptive-pathways-and-coupled-infrastructure-seven-centuries-of-adaptation-to-water-risk-and-the-production-of-vulnerability-in-Mexico-City.pdf,"https://scholar.google.com/scholar?q=related:z1tsjcnPDB0J:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
12,"P Cruz, R Joffre, C Bernard, N Egan, B Roux, ...",Social adaptive responses to a harsh and unpredictable environment: insights from a pre-Hispanic andean society,English,2022,Ecology,Ecology and …,hal.science,https://hal.science/hal-03690121/,"https://scholar.google.com/scholar?cites=14824912057659727903&as_sdt=805&sciodt=0,3&hl=en",11,2/8/2025 12:57,,,,,,,,,12,4,2,6,3,The scarcity or unpredictability of natural resources is a threat to cooperation within human societies. Exacerbated competition between individuals could affect social cohesion and …,https://hal.science/hal-03690121/document,"https://scholar.google.com/scholar?q=related:H6A2f_iqvM0J:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
76,"MC Nelson, M Hegmon, SR Kulow, MA Peeples, ...",Resisting diversity: a long-term archaeological study,English,2011,Ecology,Ecology and …,JSTOR,https://www.jstor.org/stable/26268840,"https://scholar.google.com/scholar?cites=9929918656999334327&as_sdt=805&sciodt=0,3&hl=en",52,2/13/2025 9:01,,,,,,,,,76,5.43,15,5,14,The value of “diversity” in social and ecological systems is frequently asserted in academic and policy literature. Diversity is thought to enhance the resilience of social-ecological …,https://www.academia.edu/download/30251289/nelson_et_al_2011.pdf,"https://scholar.google.com/scholar?q=related:tyH4VmgozokJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
153,"P Cilliers, HC Biggs, S Blignaut, AG Choles, ...","Complexity, modeling, and natural resource management",English,2013,Ecology,Ecology and …,JSTOR,https://www.jstor.org/stable/26269371,"https://scholar.google.com/scholar?cites=10597495774582844619&as_sdt=805&sciodt=0,3&hl=en",8,2/8/2025 17:05,,,,,,,,,153,12.75,31,5,12,"This paper contends that natural resource management (NRM) issues are, by their very nature, complex and that both scientists and managers in this broad field will benefit from a …",https://www.academia.edu/download/84795182/7b364bde4af47fafdfef5bdaf4de9c62cf06.pdf,"https://scholar.google.com/scholar?q=related:y6y2UELeEZMJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
760,"TR Miller, TD Baird, CM Littlefield, G Kofinas, ...",Epistemological pluralism: reorganizing interdisciplinary research,English,2008,Ecology,Ecology and …,JSTOR,https://www.jstor.org/stable/26268006,"https://scholar.google.com/scholar?cites=12098575153090825503&as_sdt=805&sciodt=0,3&hl=en",2,2/8/2025 16:41,,,,,,,,,760,44.71,152,5,17,"Despite progress in interdisciplinary research, difficulties remain. In this paper, we argue that scholars, educators, and practitioners need to critically rethink the ways in which …",https://pdxscholar.library.pdx.edu/cgi/viewcontent.cgi?article=1097&context=usp_fac,"https://scholar.google.com/scholar?q=related:H41YMADG5qcJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
76,"MC Nelson, M Hegmon, SR Kulow, MA Peeples, ...",Resisting diversity: a long-term archaeological study,English,2011,Ecology,Ecology and …,JSTOR,https://www.jstor.org/stable/26268840,"https://scholar.google.com/scholar?cites=9929918656999334327&as_sdt=805&sciodt=0,3&hl=en",10,2/8/2025 12:57,,,,,,,,,76,5.43,15,5,14,The value of “diversity” in social and ecological systems is frequently asserted in academic and policy literature. Diversity is thought to enhance the resilience of social-ecological …,https://www.academia.edu/download/30251289/nelson_et_al_2011.pdf,"https://scholar.google.com/scholar?q=related:tyH4VmgozokJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
1300,C Folke,Resilience (republished),English,2016,Ecology,Ecology and society,JSTOR,https://www.jstor.org/stable/26269991,"https://scholar.google.com/scholar?cites=3347144236251196245&as_sdt=805&sciodt=0,3&hl=en",3,2/13/2025 9:01,,,,,,,,,1300,144.44,1300,1,9,Resilience thinking in relation to the environment has emerged as a lens of inquiry that serves a platform for interdisciplinary dialogue and collaboration. Resilience is about …,https://www.researchgate.net/profile/Carl-Folke/publication/311621233_Resilience_Republished/links/5878c3ce08aebf17d3be2463/Resilience-Republished.pdf,"https://scholar.google.com/scholar?q=related:Vau_7fJxcy4J:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
807,"P Olsson, V Galaz, WJ Boonstra",Sustainability transformations: a resilience perspective,English,2014,Ecology,Ecology and society,JSTOR,https://www.jstor.org/stable/26269651,"https://scholar.google.com/scholar?cites=4661236067362055091&as_sdt=805&sciodt=0,3&hl=en",5,2/13/2025 9:01,,,,,,,,,807,73.36,269,3,11,"Scholars and policy makers are becoming increasingly interested in the processes that lead to transformations toward sustainability. We explored how resilience thinking, and a stronger …",https://pdfs.semanticscholar.org/5dfc/80042e1315bc825d48868168e710a88ad942.pdf,"https://scholar.google.com/scholar?q=related:s6NayYEJsEAJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
68,"M Schoon, C Fabricius, JM Anderies, M Nelson","Synthesis: vulnerability, traps, and transformations—long-term perspectives from archaeology",English,2011,Ecology,Ecology and Society,JSTOR,https://www.jstor.org/stable/26268905,"https://scholar.google.com/scholar?cites=11611822370322126007&as_sdt=805&sciodt=0,3&hl=en",59,2/13/2025 9:01,,,,,,,,,68,4.86,17,4,14,"In this synthesis, we hope to accomplish two things: 1) reflect on how the analysis of the new archaeological cases presented in this special feature adds to previous case studies by …",https://www.academia.edu/download/87357597/ES-2011-4184.pdf,"https://scholar.google.com/scholar?q=related:txT8eex6JaEJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
38,"JM Anderies, M Hegmon",Robustness and resilience across scales: migration and resource degradation in the prehistoric US southwest,English,2011,Ecology,Ecology and Society,JSTOR,https://www.jstor.org/stable/26268894,"https://scholar.google.com/scholar?cites=217387744926465222&as_sdt=805&sciodt=0,3&hl=en",81,2/13/2025 9:01,,,,,,,,,38,2.71,19,2,14,Migration is arguably one of the most important processes that link ecological and social systems across scales. Humans (and other organisms) tend to move in pursuit of better …,https://seslibrary.asu.edu/system/files/anderies_hegemon_2011_robustness_resilience_across_scales.pdf,"https://scholar.google.com/scholar?q=related:xnzdkgBRBAMJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
41,"KA Spielmann, M Nelson, S Ingram, MA Peeples",Sustainable small-scale agriculture in semi-arid environments,English,2011,Ecology,Ecology and Society,JSTOR,https://www.jstor.org/stable/26268841,"https://scholar.google.com/scholar?cites=14513250685169220503&as_sdt=805&sciodt=0,3&hl=en",85,2/13/2025 9:01,,,,,,,,,41,2.93,10,4,14,"For at least the past 8000 years, small-scale farmers in semi-arid environments have had to mitigate shortfalls in crop production due to variation in precipitation and stream flow. To …",https://www.academia.edu/download/26196984/Spielmann_2011.pdf,"https://scholar.google.com/scholar?q=related:l7u0iZpsackJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
109,"MC Nelson, K Kintigh, DR Abbott, JM Anderies",The cross-scale interplay between social and biophysical context and the vulnerability of irrigation-dependent societies: archaeology's long-term perspective,English,2010,Ecology,Ecology and Society,JSTOR,https://www.jstor.org/stable/26268174,"https://scholar.google.com/scholar?cites=11929489625044747249&as_sdt=805&sciodt=0,3&hl=en",34,2/13/2025 9:01,,,,,,,,,109,7.27,27,4,15,"What relationships can be understood between resilience and vulnerability in social-ecological systems? In particular, what vulnerabilities are exacerbated or ameliorated by …",https://dlc.dlib.indiana.edu/dlc/bitstream/handle/10535/7460/ES-2010-3389.pdf?sequence=1,"https://scholar.google.com/scholar?q=related:8QOA3JsPjqUJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
209,"KA Johnson, G Dana, NR Jordan, KJ Draeger, ...",Using participatory scenarios to stimulate social learning for collaborative sustainable development,English,2012,Ecology,Ecology and society,JSTOR,https://www.jstor.org/stable/26269034,"https://scholar.google.com/scholar?cites=10966237241345835036&as_sdt=805&sciodt=0,3&hl=en",7,2/8/2025 17:05,,,,,,,,,209,16.08,42,5,13,Interdependent human and biophysical systems are highly complex and behave in unpredictable and uncontrollable ways. Social and ecological challenges that emerge from …,https://conservancy.umn.edu/bitstream/handle/11299/175072/Johnson%20et%20al%202012.pdf?sequence=1,"https://scholar.google.com/scholar?q=related:HAAUXavmL5gJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
630,"EL Bohensky, Y Maru","Indigenous knowledge, science, and resilience: What have we learned from a decade of international literature on “integration”?",English,2011,Ecology,Ecology and Society,JSTOR,https://www.jstor.org/stable/26268978,"https://scholar.google.com/scholar?cites=12375039116945111458&as_sdt=805&sciodt=0,3&hl=en",4,2/8/2025 17:05,,,,,,,,,630,45,315,2,14,"Despite the increasing trend worldwide of integrating indigenous and scientific knowledge in natural resource management, there has been little stock-taking of literature on lessons …",https://dlc.dlib.indiana.edu/dlc/bitstream/handle/10535/7856/ES-2011-4342.pdf?sequence=1,"https://scholar.google.com/scholar?q=related:orkT14L4vKsJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
68,"M Schoon, C Fabricius, JM Anderies, M Nelson","Synthesis: vulnerability, traps, and transformations—long-term perspectives from archaeology",English,2011,Ecology,Ecology and Society,JSTOR,https://www.jstor.org/stable/26268905,"https://scholar.google.com/scholar?cites=11611822370322126007&as_sdt=805&sciodt=0,3&hl=en",22,2/8/2025 17:05,,,,,,,,,68,4.86,17,4,14,"In this synthesis, we hope to accomplish two things: 1) reflect on how the analysis of the new archaeological cases presented in this special feature adds to previous case studies by …",https://www.academia.edu/download/87357597/ES-2011-4184.pdf,"https://scholar.google.com/scholar?q=related:txT8eex6JaEJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
41,"KA Spielmann, M Nelson, S Ingram, MA Peeples",Sustainable small-scale agriculture in semi-arid environments,English,2011,Ecology,Ecology and Society,JSTOR,https://www.jstor.org/stable/26268841,"https://scholar.google.com/scholar?cites=14513250685169220503&as_sdt=805&sciodt=0,3&hl=en",30,2/8/2025 17:05,,,,,,,,,41,2.93,10,4,14,"For at least the past 8000 years, small-scale farmers in semi-arid environments have had to mitigate shortfalls in crop production due to variation in precipitation and stream flow. To …",https://www.academia.edu/download/26196984/Spielmann_2011.pdf,"https://scholar.google.com/scholar?q=related:l7u0iZpsackJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
32,"C Folke, L Gunderson",Facing global change through social-ecological research,English,2006,Ecology,Ecology and society,JSTOR,https://www.jstor.org/stable/26265991,"https://scholar.google.com/scholar?cites=598669817428681915&as_sdt=805&sciodt=0,3&hl=en",33,2/8/2025 16:41,,,,,,,,,32,1.68,16,2,19,Some people claim that we have recently witnessed a tipping point in the perceptions and values of western-oriented leaders and others involved in issues related to global …,https://www.academia.edu/download/47462074/ES-2006-1980.pdf,"https://scholar.google.com/scholar?q=related:u6SV7QbnTggJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
165,"M Walsh-Dilley, W Wolford, J McCarthy","Rights for resilience: Food sovereignty, power, and resilience in development practice",English,2016,Ecology,Ecology and Society,JSTOR,https://www.jstor.org/stable/26270348,"https://scholar.google.com/scholar?cites=1109513798487486488&as_sdt=805&sciodt=0,3&hl=en",3,2/8/2025 12:57,,,,,,,,,165,18.33,55,3,9,"Even as resilience thinking becomes evermore popular as part of strategic programming among development and humanitarian organizations, uncertainty about how to define …",https://commons.clarku.edu/cgi/viewcontent.cgi?article=1146&context=faculty_geography,"https://scholar.google.com/scholar?q=related:GLA92OvIZQ8J:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
30,"DJ Yu, JM Anderies, D Lee, I Perez",Transformation of resource management institutions under globalization: the case of songgye community forests in South Korea,English,2014,Ecology,Ecology and Society,JSTOR,https://www.jstor.org/stable/26269521,"https://scholar.google.com/scholar?cites=229051261637717627&as_sdt=805&sciodt=0,3&hl=en",16,2/8/2025 12:57,,,,,,,,,30,2.73,8,4,11,The context in which many self-governed commons systems operate will likely be significantly altered as globalization processes play out over the next few decades. Such …,https://core.ac.uk/download/pdf/79587619.pdf,"https://scholar.google.com/scholar?q=related:e25FrejALQMJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
130,"M Lubell, V Hillis, M Hoffman","Innovation, cooperation, and the perceived benefits and costs of sustainable agriculture practices",English,2011,Ecology,Ecology and Society,JSTOR,https://www.jstor.org/stable/26268971,"https://scholar.google.com/scholar?cites=13576726155036201240&as_sdt=805&sciodt=0,3&hl=en",5,2/8/2025 12:57,,,,,,,,,130,9.29,43,3,14,"A central goal of most sustainable agriculture programs is to encourage growers to adopt practices that jointly provide economic, environmental, and social benefits. Using surveys of …",https://lodigrowers.com/download/outreach_and_education/Lubell_sustainable_practices_2011.pdf,"https://scholar.google.com/scholar?q=related:GBGwY4E4arwJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
68,"M Schoon, C Fabricius, JM Anderies, M Nelson","Synthesis: vulnerability, traps, and transformations—long-term perspectives from archaeology",English,2011,Ecology,Ecology and Society,JSTOR,https://www.jstor.org/stable/26268905,"https://scholar.google.com/scholar?cites=11611822370322126007&as_sdt=805&sciodt=0,3&hl=en",12,2/8/2025 12:57,,,,,,,,,68,4.86,17,4,14,"In this synthesis, we hope to accomplish two things: 1) reflect on how the analysis of the new archaeological cases presented in this special feature adds to previous case studies by …",https://www.academia.edu/download/87357597/ES-2011-4184.pdf,"https://scholar.google.com/scholar?q=related:txT8eex6JaEJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
76,"MC Nelson, M Hegmon, SR Kulow, MA Peeples, KW Kintigh, AP Kinzig",Resisting diversity: a long-term archaeological study,English,2011,Ecology,Ecology and Society,,,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9929918656999334327,11,2/8/2025 12:42,Journal article,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8B39PWQAAAAJ&pagesize=100&citation_for_view=8B39PWQAAAAJ:d1gkVwhDpl0C,16,1,,,76,5.43,13,6,14,,,
41,"KA Spielmann, M Nelson, S Ingram, MA Peeples",Sustainable small-scale agriculture in semi-arid environments,English,2011,Ecology,Ecology and Society,,,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14513250685169220503,25,2/8/2025 12:42,Journal article,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8B39PWQAAAAJ&pagesize=100&citation_for_view=8B39PWQAAAAJ:2osOgNQ5qMEC,16,1,,,41,2.93,10,4,14,,,
66,"MA Peeples, CM Barton, S Schmich",Resilience lost: intersecting land use and landscape dynamics in the prehistoric southwestern United States,English,2006,Ecology,Ecology and Society,,,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9633450848473026992,14,2/8/2025 12:42,Journal article,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8B39PWQAAAAJ&pagesize=100&citation_for_view=8B39PWQAAAAJ:u-x6o8ySG0sC,11,2,,,66,3.47,22,3,19,,,
27,"BJ Mills, JJ Clark, MA Peeples","Migration, skill, and the transformation of social networks in the pre‐Hispanic Southwest",English,2016,Anthropology,Economic Anthropology,Wiley Online Library,https://anthrosource.onlinelibrary.wiley.com/doi/abs/10.1002/sea2.12060,"https://scholar.google.com/scholar?cites=7295766066539370809&as_sdt=805&sciodt=0,3&hl=en",82,2/10/2025 13:23,,10.1002/sea2.12060,,,,,,,27,3,9,3,9,Migration restructures interaction at different social and spatial scales and has the potential to create deep and lasting inequalities between migrants and hosts. But migrants may also …,https://drive.google.com/file/d/1hdPnereCfHvi32534ssQUHn3QxsXegEs/view,"https://scholar.google.com/scholar?q=related:OZltOJXEP2UJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
27,"BJ Mills, JJ Clark, MA Peeples","Migration, skill, and the transformation of social networks in the pre‐Hispanic Southwest",English,2016,Anthropology,Economic Anthropology,Wiley Online Library,https://anthrosource.onlinelibrary.wiley.com/doi/abs/10.1002/sea2.12060,"https://scholar.google.com/scholar?cites=7295766066539370809&as_sdt=805&sciodt=0,3&hl=en",30,2/10/2025 13:23,,10.1002/sea2.12060,,,,,,,27,3,9,3,9,Migration restructures interaction at different social and spatial scales and has the potential to create deep and lasting inequalities between migrants and hosts. But migrants may also …,https://drive.google.com/file/d/1hdPnereCfHvi32534ssQUHn3QxsXegEs/view,"https://scholar.google.com/scholar?q=related:OZltOJXEP2UJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
27,"BJ Mills, JJ Clark, MA Peeples","Migration, skill, and the transformation of social networks in the pre‐Hispanic Southwest",English,2016,Anthropology,Economic Anthropology,Wiley Online Library,https://anthrosource.onlinelibrary.wiley.com/doi/abs/10.1002/sea2.12060,"https://scholar.google.com/scholar?cites=7295766066539370809&as_sdt=805&sciodt=0,3&hl=en",33,2/9/2025 10:40,,10.1002/sea2.12060,,,,,,,27,3,9,3,9,Migration restructures interaction at different social and spatial scales and has the potential to create deep and lasting inequalities between migrants and hosts. But migrants may also …,https://drive.google.com/file/d/1hdPnereCfHvi32534ssQUHn3QxsXegEs/view,"https://scholar.google.com/scholar?q=related:OZltOJXEP2UJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
27,"BJ Mills, JJ Clark, MA Peeples","Migration, skill, and the transformation of social networks in the pre‐Hispanic Southwest",English,2016,Anthropology,Economic Anthropology,Wiley Online Library,https://anthrosource.onlinelibrary.wiley.com/doi/abs/10.1002/sea2.12060,"https://scholar.google.com/scholar?cites=7295766066539370809&as_sdt=805&sciodt=0,3&hl=en",27,2/8/2025 20:16,,10.1002/sea2.12060,,,,,,,27,3,9,3,9,Migration restructures interaction at different social and spatial scales and has the potential to create deep and lasting inequalities between migrants and hosts. But migrants may also …,https://drive.google.com/file/d/1hdPnereCfHvi32534ssQUHn3QxsXegEs/view,"https://scholar.google.com/scholar?q=related:OZltOJXEP2UJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
59,"S Kusimba, Y Yang, N Chawla",Hearthholds of mobile money in western Kenya,English,2016,Anthropology,Economic Anthropology,Wiley Online Library,https://anthrosource.onlinelibrary.wiley.com/doi/abs/10.1002/sea2.12055,"https://scholar.google.com/scholar?cites=18172410976918178444&as_sdt=805&sciodt=0,3&hl=en",16,2/8/2025 17:05,,10.1002/sea2.12055,,,,,,,59,6.56,20,3,9,Kenyans use mobile money services to transfer money to friends and relatives via mobile phone text messaging. Kenya's M‐Pesa is one of the most successful examples of digital …,https://www.academia.edu/download/46351464/Kusimba_et_al-2016-Economic_Anthropology.pdf,"https://scholar.google.com/scholar?q=related:jAqef4BfMfwJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
27,"BJ Mills, JJ Clark, MA Peeples","Migration, skill, and the transformation of social networks in the pre‐Hispanic Southwest",English,2016,Anthropology,Economic Anthropology,Wiley Online Library,https://anthrosource.onlinelibrary.wiley.com/doi/abs/10.1002/sea2.12060,"https://scholar.google.com/scholar?cites=7295766066539370809&as_sdt=805&sciodt=0,3&hl=en",34,2/8/2025 17:05,,10.1002/sea2.12060,,,,,,,27,3,9,3,9,Migration restructures interaction at different social and spatial scales and has the potential to create deep and lasting inequalities between migrants and hosts. But migrants may also …,https://drive.google.com/file/d/1hdPnereCfHvi32534ssQUHn3QxsXegEs/view,"https://scholar.google.com/scholar?q=related:OZltOJXEP2UJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
6,RA Horowitz,Valuing the ubiquitous: Resource availability and landscape value among the Classic period Maya of western Belize,English,2022,Anthropology,Economic Anthropology,Wiley Online Library,https://anthrosource.onlinelibrary.wiley.com/doi/abs/10.1002/sea2.12243,"https://scholar.google.com/scholar?cites=13008741084939562625&as_sdt=805&sciodt=0,3&hl=en",10,2/8/2025 12:45,,10.1002/sea2.12243,,,,,,,6,2,6,1,3,"Studies of materials' value in past societies have examined a wide variety of causes for value including, but not limited to, labor, skill, access, cultural associations, and scarcity and …",https://www.academia.edu/download/99124168/Horowitz2022_econanth.pdf,"https://scholar.google.com/scholar?q=related:gS7a7hdViLQJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
27,"BJ Mills, JJ Clark, MA Peeples","Migration, skill, and the transformation of social networks in the pre‐Hispanic Southwest",English,2016,Anthropology,Economic Anthropology,Wiley Online Library,https://anthrosource.onlinelibrary.wiley.com/doi/abs/10.1002/sea2.12060,"https://scholar.google.com/scholar?cites=7295766066539370809&as_sdt=805&sciodt=0,3&hl=en",4,2/8/2025 12:45,,10.1002/sea2.12060,,,,,,,27,3,9,3,9,Migration restructures interaction at different social and spatial scales and has the potential to create deep and lasting inequalities between migrants and hosts. But migrants may also …,https://drive.google.com/file/d/1hdPnereCfHvi32534ssQUHn3QxsXegEs/view,"https://scholar.google.com/scholar?q=related:OZltOJXEP2UJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
27,"BJ Mills, JJ Clark, MA Peeples","Migration, skill, and the transformation of social networks in the pre‐Hispanic Southwest",English,2016,Anthropology,Economic Anthropology,,,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7295766066539370809,31,2/8/2025 12:42,Journal article,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8B39PWQAAAAJ&pagesize=100&citation_for_view=8B39PWQAAAAJ:ZeXyd9-uunAC,3,2,203,215,27,3,9,3,9,,,
0,"KB Vernon, SC Brewer, BF Codding, S Ortman",The network ecology of settlement persistence,English,2024,Ecology,ecosystem-modelling.uni-koeln.de,,https://ecosystem-modelling.uni-koeln.de/programme/paper-15-vernon-and-ortman,,6,2/8/2025 12:45,HTML,,,,,,,,0,0,0,4,,Aim. The goal of this project is to evaluate the degree to which social and environmental factors contribute to the persistence of dispersed settlements within a small-scale …,https://ecosystem-modelling.uni-koeln.de/programme/paper-15-vernon-and-ortman,"https://scholar.google.com/scholar?q=related:Kfyjh-xAkb4J:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
